GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CayCanh,ceb.util,VnpayUtils,7,102,1,7,2,16,1,8,0,5
CayCanh,ceb,CayCanhApplication,5,3,0,0,2,1,1,1,1,1
CayCanh,ceb,ServletInitializer,0,12,0,0,0,2,0,2,0,2
CayCanh,ceb.security,OAuth2LoginFailureHandler,0,25,0,0,0,9,0,2,0,2
CayCanh,ceb.security,TokenBlacklistService,2,51,1,3,1,14,1,6,0,5
CayCanh,ceb.security,OAuth2LoginSuccessHandler,21,58,1,1,6,16,1,2,0,2
CayCanh,ceb.security,CustomUserDetails,27,13,0,0,7,5,7,3,7,3
CayCanh,ceb.security,JwtAccessDeniedHandler,15,0,0,0,6,0,2,0,2,0
CayCanh,ceb.security,JwtAuthenticationFilter,139,0,12,0,39,0,8,0,2,0
CayCanh,ceb.security,JwtService.JwtUserClaims,0,9,0,0,0,1,0,1,0,1
CayCanh,ceb.security,SecurityErrorWriter,0,37,0,0,0,12,0,2,0,2
CayCanh,ceb.security,JwtAuthenticationEntryPoint,15,0,0,0,6,0,2,0,2,0
CayCanh,ceb.security,JwtCookieService,4,119,5,7,1,34,5,5,0,4
CayCanh,ceb.security,JwtService,18,162,7,9,6,44,8,9,1,8
CayCanh,ceb.repository,ProductsRepository,0,219,0,0,0,35,0,9,0,9
CayCanh,ceb.repository,CartRepository,2,63,1,1,0,8,1,3,0,3
CayCanh,ceb.repository,DashboardRepository,0,27,0,0,0,4,0,4,0,4
CayCanh,ceb.repository,WishlistRepository,19,89,1,1,2,17,1,6,0,6
CayCanh,ceb.repository,OrderItemsRepository,0,54,0,0,0,9,0,3,0,3
CayCanh,ceb.repository,OrdersRepository,2,159,1,1,0,26,1,8,0,8
CayCanh,ceb.repository,CategoriesRepository,14,122,2,4,1,16,3,6,1,5
CayCanh,ceb.repository,CartItemsRepository,19,291,2,2,3,57,3,10,1,10
CayCanh,ceb.repository,UsersRepository,21,215,1,1,4,37,2,10,1,10
CayCanh,ceb.repository,PaymentsRepository,0,92,0,0,0,15,0,5,0,5
